phenotype	pheweb_phenotype_name	pheweb_phenotype_category	sample_size
N-Ac-Tryptophan	N-Ac-Tryptophan	Amino acids and peptides	924
N-Acetyl-Aspartate-NAA	N-Acetyl-Aspartate-NAA	Amino acids and peptides	924
N-Carbamoyl-B-Alanine	N-Carbamoyl-B-Alanine	Organonitrogen compounds	924
n-Formylmethionine	n-Formylmethionine	Amino acids and peptides	924
N2-N2-Dimethylguanosine	N2-N2-Dimethylguanosine	Purines	924
N6-Acetyl-Lysine	N6-Acetyl-Lysine	Amino acids and peptides	924
N6-Trimethyllysine	N6-Trimethyllysine	Amino acids and peptides	924
Ornithine	Ornithine	Amino acids and peptides	924
Orotate	Orotate	Pyrimidines	924
Oxalacetate	Oxalacetate	TCA acids	924
Oxidized-Glutathione	Oxidized-Glutathione	Amino acids and peptides	924
Palmitic-Acid	Palmitic-Acid	Fatty acids	924
Pantothenate	Pantothenate	Amino acids and peptides	924
Phenylacetylglutamine	Phenylacetylglutamine	Amino acids and peptides	924
Phenylalanine	Phenylalanine	Amino acids and peptides	924
Phenyllactic-Acid	Phenyllactic-Acid	Phenylpropanoids	924
PPA	PPA	Phenylpropanoids	924
Proline	Proline	Amino acids and peptides	924
Pseudouridine	Pseudouridine	Pyrimidines	924
Pyroglutamic-Acid	Pyroglutamic-Acid	Amino acids and peptides	924
Pyruvate	Pyruvate	ShortUnclassified metabolitechain acids	924
Reduced-Glutathione	Reduced-Glutathione	Amino acids and peptides	924
Riboflavin	Riboflavin	Alloxazines and isoalloxazines	924
S-Methylcysteine	S-Methylcysteine	Amino acids and peptides	924
SAH	SAH	Purines	924
Sarcosine	Sarcosine	Amino acids and peptides	924
Serine	Serine	Amino acids and peptides	924
Suberic-Acid	Suberic-Acid	Fatty acids	924
Succinate	Succinate	TCA acids	924
Succinylcarnitine	Succinylcarnitine	Fatty esters	924
Taurine	Taurine	Sulfonic acids	924
Thiamine	Thiamine	Pyrimidines	924
Threonine	Threonine	Amino acids and peptides	924
Trigonelline	Trigonelline	Pyridine alkaloids	924
Trimethylamine-N-Oxide-TMAO	Trimethylamine-N-Oxide-TMAO	Amine oxides	924
Tryptophan	Tryptophan	Amino acids and peptides	924
Tyrosine	Tyrosine	Amino acids and peptides	924
Uracil	Uracil	Pyrimidines	924
Valine	Valine	Amino acids and peptides	924
Xanthine	Xanthine	Purines	924
